标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
两梯三户+近新达汇+电梯高区+精装修,杉林新月环林东路875弄 ,2室1厅,84.45平米,南,18,2006,三林,600,71
小区仅有15套+临河位置+户型方正,新里城和合苑 ,2室2厅,72.29平米,南 北,5,1999,杨思前滩,620,85
前滩南 精装修 满五年 采光好 楼层好 品质厨卫,杉林新月环林东路875弄 ,2室2厅,84.45平米,南,18,2006,三林,599,70
新装修2年 税费各付价 两条地铁 两所医院 四座商场,金橘新苑（北区） ,3室1厅,85.7平米,南 北,16,2006,三林,659,76
大面积，大花园，总价低，满五税费少，诚意卖,海院新村 ,3室2厅,80.72平米,南,5,1984,梅园,560,69
精装修满五年V1 楼层位置好 户型方正,新高苑(一期) ,2室1厅,85.3平米,南,6,2006,高行,515,60
婚房装修位置好， 可拎包入住，看房提前预约,大华锦绣华城(四街区) ,2室2厅,82.54平米,南,6,2010,北蔡,743,90
7/13号线双轨交 昌邑 税费少 诚意卖 配套成熟,金恒小区 ,3室1厅,88.17平米,南,6,1995,北蔡,528,59
商品房社区，满五年业主就一套房子，双南户型，全明,海桐苑 ,2室2厅,87.06平米,南,6,2000,花木,795,91
周浦镇繁华   地段品质小区   印象春城,印象春城 ,2室2厅,88.24平米,南,18,2011,周浦,520,58
房满五年，双南全明，中间楼层，7号线地铁口，商品房,芳佳苑 ,2室2厅,80.23平米,南 北,6,2000,北蔡,605,75
满五w ei一，成山路地铁口，精装拎包入住 低于核验价,德州大楼 ,2室2厅,81.28平米,南,25,1992,世博,528,64
户型好 前后无遮挡、采光明亮、小区安静的位置,莲康苑 ,2室1厅,80.53平米,南,17,2014,北蔡,505,62
前滩新杨思+全新装修+带地暖+中环内+8号线杨思站,世华锦城 ,2室1厅,77.65平米,东 东南 南 北,11,2008,杨思前滩,579,74
精装随时看 大阳台景观楼层 诚心出售,绿地崴廉公寓 ,2室1厅,86.85平米,南,11,2007,高行,580,66
满五年，税费少；不靠路，出门即地铁,中星张杨苑 ,3室2厅,77.68平米,南,6,1995,梅园,650,83
尼德兰花园（二期）精装两房！位置好！业主诚意出售,尼德兰花园(二期) ,2室1厅,88.07平米,南,13,2016,外高桥,540,61
双地铁巨峰路站旁东陆新村五街坊，中间楼层，诚意出售,东陆新村五街坊 ,3室1厅,77.85平米,南,6,2003,金桥,568,72
精装拎包三房，省去装修烦扰，南北通风采光好价格可谈,御桥花园 ,3室2厅,87.51平米,南 北,6,1996,御桥,598,68
陆家嘴滨江旁 电梯高区两房 西南朝向 满五且一随时看,滨康大楼 ,2室1厅,76.17平米,南 西,18,1995,陆家嘴,529,69
内环旁，近地铁，全南户型，视野采光好，业主诚意出售,东方明珠国际公寓 ,2室2厅,84.28平米,南,25,2005,南码头,790,93
张江好房动迁税费少 好位置屋内安静  户型好,玉兰香苑二期C块 ,2室1厅,84.31平米,南,6,2009,张江,538,63
川杨新苑(一期) 2室1厅 南,川杨新苑(一期) ,2室1厅,87.92平米,南,6,2007,张江,530,60
此房位置好楼层好，视野开阔，精装修带整体空调和地暖,绿地香颂(浦东)(公寓) ,2室2厅,87.91平米,南,18,2011,三林,599,68
优质满五三房 户型方正  全明户型 交通便捷,玉兰路46弄 ,3室1厅,82.72平米,南,6,1993,花木,550,66
低于同户型20万诚售，不靠路好楼层，动迁税少，有钥匙,民康苑 ,2室2厅,84.96平米,南,16,2008,御桥,628,73
